Chromosome	Length (cm)	Base pairs	Variations	Confirmed proteins	Putative proteins	Pseudogenes	miRNA	rRNA	snRNA	snoRNA	Misc ncRNA	Links
1	8.5	249250621	4401091	2012	31	1130	134	66	221	145	106	EBI
2	8.3	243199373	4607702	1203	50	948	115	40	161	117	93	EBI
3	6.7	198022430	3894345	1040	25	719	99	29	138	87	77	EBI
4	6.5	191154276	3673892	718	39	698	92	24	120	56	71	EBI
5	6.2	180915260	3436667	849	24	676	83	25	106	61	68	EBI
6	5.8	171115067	3360890	1002	39	731	81	26	111	73	67	EBI
7	5.4	159138663	3045992	866	34	803	90	24	90	76	70	EBI
8	5	146364022	2890692	659	39	568	80	28	86	52	42	EBI
9	4.8	141213431	2581827	785	15	714	69	19	66	51	55	EBI
10	4.6	135534747	2609802	745	18	500	64	32	87	56	56	EBI
11	4.6	135006516	2607254	1258	48	775	63	24	74	76	53	EBI
12	4.5	133851895	2482194	1003	47	582	72	27	106	62	69	EBI
13	3.9	115169878	1814242	318	8	323	42	16	45	34	36	EBI
14	3.6	107349540	1712799	601	50	472	92	10	65	97	46	EBI
15	3.5	102531392	1577346	562	43	473	78	13	63	136	39	EBI
16	3.1	90354753	1747136	805	65	429	52	32	53	58	34	EBI
17	2.8	81195210	1491841	1158	44	300	61	15	80	71	46	EBI
18	2.7	78077248	1448602	268	20	59	32	13	51	36	25	EBI
19	2	59128983	1171356	1399	26	181	110	13	29	31	15	EBI
20	2.1	63025520	1206753	533	13	213	57	15	46	37	34	EBI
21	1.6	48129895	787784	225	8	150	16	5	21	19	8	EBI
22	1.7	51304566	745778	431	21	308	31	5	23	23	23	EBI
X	5.3	155270560	2174952	815	23	780	128	22	85	64	52	EBI
Y	2	59373566	286812	45	8	327	15	7	17	3	2	EBI
mtDNA	0.00054	16569	929	13	0	0	0	2	0	0	22	EBI
